id,listing_url,bedrooms,beds,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
44003081,https://www.airbnb.com/rooms/44003081,2.0,2.0,$117.00,93,4.83,4.83,4.75
44020810,https://www.airbnb.com/rooms/44020810,5.0,6.0,$621.00,28,4.68,4.68,4.43
44031965,https://www.airbnb.com/rooms/44031965,3.0,3.0,$387.00,53,4.94,4.98,4.83
44035457,https://www.airbnb.com/rooms/44035457,,1.0,$196.00,45,4.98,4.98,4.82
44042984,https://www.airbnb.com/rooms/44042984,1.0,2.0,$121.00,166,4.52,4.66,4.54
44049128,https://www.airbnb.com/rooms/44049128,3.0,3.0,$307.00,36,4.72,4.81,4.75
44050038,https://www.airbnb.com/rooms/44050038,2.0,2.0,$257.00,41,5.0,5.0,5.0
44062294,https://www.airbnb.com/rooms/44062294,4.0,5.0,$305.00,57,5.0,4.96,4.95
44087479,https://www.airbnb.com/rooms/44087479,1.0,2.0,$248.00,64,4.97,4.98,4.91
44097919,https://www.airbnb.com/rooms/44097919,2.0,3.0,$799.00,3,4.33,4.67,4.33
44105153,https://www.airbnb.com/rooms/44105153,1.0,1.0,$77.00,12,4.67,5.0,4.58
44121147,https://www.airbnb.com/rooms/44121147,7.0,9.0,$1243.00,44,4.52,4.43,4.32
44134076,https://www.airbnb.com/rooms/44134076,2.0,2.0,$199.00,42,4.98,4.95,4.98
44135942,https://www.airbnb.com/rooms/44135942,3.0,3.0,$350.00,21,4.71,4.9,4.62
44137881,https://www.airbnb.com/rooms/44137881,3.0,3.0,$178.00,1,5.0,5.0,5.0
44152344,https://www.airbnb.com/rooms/44152344,1.0,1.0,$110.00,70,4.97,5.0,4.93
44167922,https://www.airbnb.com/rooms/44167922,4.0,8.0,$864.00,48,4.88,4.77,4.63
44169741,https://www.airbnb.com/rooms/44169741,2.0,3.0,$293.00,40,4.93,4.88,4.8
44171023,https://www.airbnb.com/rooms/44171023,1.0,1.0,$112.00,32,4.66,4.69,4.84
44175350,https://www.airbnb.com/rooms/44175350,1.0,1.0,$38.00,2,5.0,5.0,5.0
44178860,https://www.airbnb.com/rooms/44178860,3.0,3.0,$325.00,31,4.9,4.9,4.87
44194586,https://www.airbnb.com/rooms/44194586,1.0,1.0,$37.00,18,4.89,4.94,5.0
44205491,https://www.airbnb.com/rooms/44205491,1.0,1.0,$114.00,4,5.0,4.75,5.0
44231695,https://www.airbnb.com/rooms/44231695,1.0,2.0,$80.00,20,5.0,5.0,5.0
44243866,https://www.airbnb.com/rooms/44243866,3.0,3.0,$590.00,12,5.0,5.0,4.75
44248400,https://www.airbnb.com/rooms/44248400,1.0,2.0,$305.00,54,4.41,4.57,4.37
44250415,https://www.airbnb.com/rooms/44250415,3.0,2.0,$200.00,1,5.0,5.0,3.0
44261775,https://www.airbnb.com/rooms/44261775,4.0,6.0,$381.00,99,4.87,4.81,4.68
44265967,https://www.airbnb.com/rooms/44265967,1.0,,$108.00,1,5.0,5.0,4.0
44277448,https://www.airbnb.com/rooms/44277448,1.0,1.0,$60.00,0,,,
44280032,https://www.airbnb.com/rooms/44280032,3.0,3.0,$446.00,0,,,
44290771,https://www.airbnb.com/rooms/44290771,1.0,1.0,$238.00,51,4.92,4.9,4.84
44300775,https://www.airbnb.com/rooms/44300775,6.0,8.0,$826.00,43,4.95,4.93,4.86
44304143,https://www.airbnb.com/rooms/44304143,2.0,3.0,$127.00,72,4.83,4.94,4.68
44319776,https://www.airbnb.com/rooms/44319776,1.0,1.0,$103.00,89,4.98,4.96,4.9
44334709,https://www.airbnb.com/rooms/44334709,1.0,2.0,$229.00,573,4.48,4.61,4.44
44334716,https://www.airbnb.com/rooms/44334716,2.0,3.0,$470.00,277,4.43,4.65,4.39
44334720,https://www.airbnb.com/rooms/44334720,1.0,2.0,$232.00,743,4.6,4.67,4.57
44334728,https://www.airbnb.com/rooms/44334728,2.0,3.0,$305.00,252,4.65,4.7,4.61
44337965,https://www.airbnb.com/rooms/44337965,5.0,5.0,$1100.00,9,5.0,5.0,4.89
44341469,https://www.airbnb.com/rooms/44341469,2.0,2.0,$133.00,0,,,
44354423,https://www.airbnb.com/rooms/44354423,5.0,9.0,$2874.00,1,4.0,4.0,1.0
44354441,https://www.airbnb.com/rooms/44354441,7.0,17.0,$3657.00,2,5.0,5.0,4.5
44354459,https://www.airbnb.com/rooms/44354459,5.0,14.0,$1485.00,1,5.0,5.0,5.0
44359678,https://www.airbnb.com/rooms/44359678,2.0,3.0,$210.00,19,4.89,4.89,4.79
44362381,https://www.airbnb.com/rooms/44362381,2.0,3.0,$143.00,24,4.63,4.79,4.71
44376177,https://www.airbnb.com/rooms/44376177,5.0,5.0,$850.00,93,4.94,4.89,4.82
44380021,https://www.airbnb.com/rooms/44380021,1.0,2.0,$126.00,62,5.0,5.0,4.98
44400303,https://www.airbnb.com/rooms/44400303,4.0,4.0,$825.00,54,4.89,4.93,4.74
44404727,https://www.airbnb.com/rooms/44404727,3.0,2.0,$129.00,6,4.83,4.83,5.0
44416489,https://www.airbnb.com/rooms/44416489,2.0,3.0,$199.00,80,4.96,4.95,4.94
44416588,https://www.airbnb.com/rooms/44416588,2.0,3.0,$290.00,28,4.68,4.75,4.75
44417536,https://www.airbnb.com/rooms/44417536,3.0,3.0,$185.00,14,4.93,5.0,4.79
44419712,https://www.airbnb.com/rooms/44419712,2.0,3.0,$145.00,104,4.93,4.97,4.88
44419747,https://www.airbnb.com/rooms/44419747,1.0,3.0,$104.00,113,4.78,4.87,4.76
44419771,https://www.airbnb.com/rooms/44419771,1.0,1.0,$825.00,0,,,
44433722,https://www.airbnb.com/rooms/44433722,4.0,8.0,$803.00,18,4.56,4.61,4.22
44433969,https://www.airbnb.com/rooms/44433969,,1.0,$85.00,1,5.0,5.0,5.0
44434928,https://www.airbnb.com/rooms/44434928,2.0,3.0,$320.00,24,4.92,4.96,5.0
44448954,https://www.airbnb.com/rooms/44448954,3.0,3.0,$353.00,88,4.94,4.98,4.8
44449873,https://www.airbnb.com/rooms/44449873,4.0,4.0,$400.00,0,,,
44454027,https://www.airbnb.com/rooms/44454027,3.0,4.0,$434.00,23,4.52,4.57,4.65
44465114,https://www.airbnb.com/rooms/44465114,3.0,4.0,$458.00,101,4.93,4.98,4.77
44468333,https://www.airbnb.com/rooms/44468333,2.0,3.0,$255.00,39,4.69,4.85,4.44
44475169,https://www.airbnb.com/rooms/44475169,5.0,6.0,$800.00,26,4.92,4.92,4.92
44476138,https://www.airbnb.com/rooms/44476138,1.0,1.0,$128.00,58,4.88,4.95,4.93
44476530,https://www.airbnb.com/rooms/44476530,1.0,1.0,$19.00,2,5.0,5.0,5.0
44477375,https://www.airbnb.com/rooms/44477375,1.0,1.0,$102.00,88,4.91,4.91,4.78
44477696,https://www.airbnb.com/rooms/44477696,4.0,5.0,$294.00,68,4.94,4.99,4.84
44478238,https://www.airbnb.com/rooms/44478238,1.0,2.0,$147.00,158,4.94,4.94,4.89
44478744,https://www.airbnb.com/rooms/44478744,2.0,4.0,$158.00,58,4.91,4.9,4.84
44479312,https://www.airbnb.com/rooms/44479312,2.0,3.0,$320.00,19,4.74,4.79,4.68
44503482,https://www.airbnb.com/rooms/44503482,1.0,1.0,$99.00,27,4.74,4.78,4.85
44519908,https://www.airbnb.com/rooms/44519908,2.0,2.0,$138.00,105,4.92,4.94,4.81
44522326,https://www.airbnb.com/rooms/44522326,3.0,3.0,$160.00,1,5.0,5.0,5.0
44530024,https://www.airbnb.com/rooms/44530024,,1.0,$165.00,131,4.98,5.0,4.96
44531881,https://www.airbnb.com/rooms/44531881,3.0,3.0,$725.00,9,5.0,5.0,5.0
44536467,https://www.airbnb.com/rooms/44536467,3.0,3.0,$275.00,11,4.91,4.91,4.82
44549098,https://www.airbnb.com/rooms/44549098,1.0,1.0,$80.00,1,5.0,5.0,5.0
44570905,https://www.airbnb.com/rooms/44570905,1.0,1.0,$269.00,27,4.96,4.93,4.81
44588257,https://www.airbnb.com/rooms/44588257,1.0,1.0,$286.00,188,4.92,4.94,4.77
44589630,https://www.airbnb.com/rooms/44589630,1.0,1.0,$75.00,52,4.77,4.77,4.67
44591348,https://www.airbnb.com/rooms/44591348,2.0,3.0,$175.00,1,5.0,5.0,5.0
