id,price,bedrooms,review_scores_rating,number_of_reviews
195674,$821.00,4.0,4.95,39
202187,$72.00,1.0,4.87,943
202753,$200.00,1.0,5.0,14
207054,$163.00,2.0,4.9,200
208897,$212.00,3.0,4.96,139
210834,$718.00,3.0,4.89,19
218402,$30.00,1.0,4.72,27
219168,$250.00,NULL,4.88,8
222986,$500.00,3.0,4.96,53
224603,$112.00,NULL,4.94,114
227372,$446.00,3.0,4.89,250
233930,$262.00,2.0,4.94,101
238657,$217.00,2.0,4.98,186
240541,$89.00,1.0,4.62,720
247770,$175.00,3.0,4.0,1
248515,$267.00,2.0,4.83,170
252804,$100.00,3.0,4.67,94
254232,$689.00,2.0,5.0,6
271052,$264.00,2.0,4.89,45
277028,$541.00,5.0,4.69,116
281182,$414.00,3.0,4.9,51
282342,$91.00,3.0,4.77,30
294708,$1800.00,4.0,4.74,296
295275,$191.00,3.0,4.86,65
300574,$144.00,1.0,4.89,441
304808,$155.00,1.0,4.83,351
304866,$76.00,1.0,4.82,176
305392,$695.00,4.0,5.0,13
314152,$350.00,2.0,NULL,0
315239,$600.00,3.0,5.0,2
316630,$400.00,2.0,4.89,9
317148,$335.00,2.0,4.63,39
319759,$800.00,5.0,4.87,297
319887,$694.00,2.0,4.5,2
319894,$205.00,3.0,4.83,185
321069,$807.00,3.0,0.0,1
322834,$240.00,3.0,4.8,47
323733,$178.00,2.0,4.85,362
324480,$99.00,1.0,5.0,1
325889,$756.00,5.0,4.74,84
326172,$98.00,1.0,5.0,23
329172,$495.00,3.0,5.0,7
329306,$108.00,1.0,4.84,583
331549,$100.00,1.0,NULL,0
333442,$542.00,5.0,4.84,166
333815,$146.00,1.0,4.91,164
334616,$250.00,2.0,5.0,2
335885,$1000.00,5.0,4.84,43
335945,$264.00,2.0,4.56,34
337125,$80.00,1.0,4.79,33
340045,$400.00,1.0,1.0,1
340630,$50.00,2.0,4.73,23
341382,$750.00,4.0,4.72,124
341596,$150.00,2.0,5.0,90
342039,$177.00,1.0,4.93,350
342243,$44.00,1.0,5.0,3
343462,$157.00,1.0,4.88,255
343889,$47.00,NULL,4.72,35
345221,$299.00,2.0,4.38,8
345473,$401.00,3.0,4.97,174
345536,$192.00,2.0,4.93,290
347572,$125.00,2.0,4.9,29
347654,$607.00,3.0,4.91,65
347935,$643.00,2.0,5.0,1
349447,$157.00,1.0,4.85,815
349635,$88.00,1.0,4.67,71
350072,$825.00,3.0,5.0,6
351865,$75.00,1.0,NULL,0
353126,$64.00,1.0,4.83,6
353261,$761.00,4.0,4.82,204
353955,$225.00,2.0,4.0,1
354263,$160.00,1.0,4.9,382
354513,$630.00,3.0,5.0,5
354569,$248.00,2.0,5.0,11
355176,$110.00,1.0,4.85,21
355232,$1000.00,3.0,5.0,3
355328,$100.00,1.0,NULL,0
355792,$97.00,1.0,4.85,14
356675,$1050.00,3.0,5.0,2
356719,$300.00,3.0,0.0,1
356837,$728.00,2.0,4.85,35
357529,$325.00,2.0,4.98,333
358164,$114.00,1.0,4.95,220
358643,$800.00,2.0,NULL,0
362460,$625.00,2.0,NULL,0
362662,$729.00,4.0,4.82,108
363040,$99.00,NULL,4.84,355
363944,$1154.00,5.0,4.94,31
364025,$225.00,1.0,4.69,13
364269,$402.00,3.0,4.88,104
364402,$65.00,1.0,4.94,17
365471,$344.00,3.0,4.82,103
367356,$152.00,2.0,4.75,179
367789,$2150.00,4.0,5.0,1
369090,$650.00,2.0,NULL,0
381240,$432.00,2.0,5.0,9
383603,$155.00,1.0,4.88,113
406911,$181.00,1.0,4.95,413
412290,$47.00,1.0,4.67,52
424279,$240.00,2.0,4.89,27
